Date,Địa danh,Số ca,Buổi
07/15/2021,Thanh Hóa,19,Tối
07/15/2021,HCM,10,Tối
07/15/2021,Hà Nội,2,Tối
07/15/2021,Quảng Nam,1,Tối
07/15/2021,Bình Định,1,Tối
07/15/2021,TP. Hồ Chí Minh,1.399,Tối
07/15/2021,Bình Dương,122,Tối
07/15/2021,Đồng Tháp,63,Tối
07/15/2021,Đồng Nai,60,Tối
07/15/2021,Long An,41,Tối
07/15/2021,Đà Nẵng,33,Tối
07/15/2021,Bến Tre,30,Tối
07/15/2021,Phú Yên,30,Tối
07/15/2021,Vĩnh Long,17,Tối
07/15/2021,Bình Thuận,17,Tối
07/15/2021,Bình Phước,13,Tối
07/15/2021,Hưng Yên,12,Tối
07/15/2021,Cần Thơ,11,Tối
07/15/2021,Ninh Thuận,10,Tối
07/15/2021,Hà Nội,7,Tối
07/15/2021,Sóc Trăng,4,Tối
07/15/2021,Quảng Ngãi,4,Tối
07/15/2021,Khánh Hòa,4,Tối
07/15/2021,Bắc Ninh,3,Tối
07/15/2021,Trà Vinh,3,Tối
07/15/2021,Bình Định,1,Tối
07/15/2021,Cà Mau,1,Tối
07/15/2021,Vĩnh Phúc,1,Tối
07/15/2021,Lâm Đồng,1,Tối
07/15/2021,Đắk Lắk,1,Tối
07/15/2021,Bắc Giang,1,Tối
07/15/2021,An Giang,2,Sáng
07/15/2021,Ninh Bình,1,Sáng
07/15/2021,Bà Rịa - Vũng Tàu,1,Sáng
07/15/2021,TP. Hồ Chí Minh,603,Sáng
07/15/2021,Đồng Nai,72,Sáng
07/15/2021,Đồng Tháp,36,Sáng
07/15/2021,Phú Yên,18,Sáng
07/15/2021,Khánh Hòa,18,Sáng
07/15/2021,Bà Rịa - Vũng Tàu,17,Sáng
07/15/2021,Hà Nội,11,Sáng
07/15/2021,Hưng Yên,10,Sáng
07/15/2021,An Giang,8,Sáng
07/15/2021,Ninh Thuận,7,Sáng
07/15/2021,Đắk Nông,1,Sáng
07/14/2021,Thanh Hóa,3,Tối
07/14/2021,Quảng Nam,2,Tối
07/14/2021,Hà Nội,1,Tối
07/14/2021,TP. Hồ Chí Minh,592,Tối
07/14/2021,Bình Dương,73,Tối
07/14/2021,Đồng Tháp,42,Tối
07/14/2021,Đồng Nai,38,Tối
07/14/2021,Đà Nẵng,15,Tối
07/14/2021,Sóc Trăng,12,Tối
07/14/2021,Bình Thuận,9,Tối
07/14/2021,Kiên Giang,9,Tối
07/14/2021,Cần Thơ,8,Tối
07/14/2021,Phú Yên,6,Tối
07/14/2021,Hà Nội,4,Tối
07/14/2021,Quảng Ngãi,4,Tối
07/14/2021,Nghệ An,3,Tối
07/14/2021,Trà Vinh,2,Tối
07/14/2021,Hà Tĩnh,1,Tối
07/14/2021,Cà Mau,1,Tối
07/14/2021,Bắc Giang,1,Tối
07/14/2021,Bắc Ninh,1,Tối
07/14/2021,Lạng Sơn,1,Tối
07/14/2021,Bình Phước,1,Tối
07/14/2021,TP. Hồ Chí Minh,971,Trưa
07/14/2021,Tiền Giang,115,Trưa
07/14/2021,Đồng Tháp,91,Trưa
07/14/2021,Phú Yên,8,Trưa
07/14/2021,Bến Tre,3,Trưa
