Date,Địa Danh,Số ca,Buổi
2021/05/10,Bắc Ninh,27,Sáng
2021/05/10,Vĩnh Phúc,19,Sáng
2021/05/10,Đà Nẵng,13,Sáng
2021/05/10,Bắc Giang,5,Sáng
2021/05/10,Hà Nội,9,Sáng
2021/05/10,Hòa Bình,2,Sáng
2021/05/10,Đắk Lắk,1,Sáng
2021/05/10,Điện Biên,1,Sáng
2021/05/10,Lạng Sơn,1,Sáng
2021/05/10,Bắc Ninh,27,Trưa
2021/05/10,Vĩnh Phúc,19,Trưa
2021/05/10,Đà Nẵng,13,Trưa
2021/05/10,Bắc Giang,5,Trưa
2021/05/10,Hà Nội,9,Trưa
2021/05/10,Hòa Bình,2,Trưa
2021/05/10,Đắk Lắk,1,Trưa
2021/05/10,Điện Biên,1,Trưa
2021/05/10,Lạng Sơn,1,Trưa
2021/05/10,Hưng Yên,6,Tối
2021/05/10,Đà Nẵng,4,Tối
2021/05/10,Bắc Giang,3,Tối
2021/05/10,Hà Nội,2,Tối
2021/05/10,Vĩnh Phúc,1,Tối
2021/05/11,Bệnh viện nhiệt đới Trung ương,1,Sáng
2021/05/11,Bắc Ninh,13,Sáng
2021/05/11,Vĩnh Phúc,7,Sáng
2021/05/11,Bắc Giang,5,Sáng
2021/05/11,Lạng Sơn,1,Sáng
2021/05/11,Hải Dương,1,Sáng
2021/05/11,Bắc Giang,10,Trưa
2021/05/11,Hà Nội,2,Trưa
2021/05/11,Quảng Trị,2,Trưa
2021/05/11,Bắc Ninh,1,Trưa
2021/05/11,Hải Dương,1,Trưa
2021/05/11,Bắc Ninh,20,Tối
2021/05/11,Bắc Giang,2,Tối
2021/05/11,Hà Nội,2,Tối
2021/05/11,Thái Bình,2,Tối
2021/05/11,Thừa thiên Huế,1,Tối
2021/05/12,Bệnh viện nhiệt đới Trung ương,4,Sáng
2021/05/12,Vĩnh Phúc,13,Sáng
2021/05/12,Đà Nẵng,7,Sáng
2021/05/12,Bắc Giang,6,Sáng
2021/05/12,Lạng Sơn,1,Sáng
2021/05/12,Hà Nội,1,Sáng
2021/05/12,Nam Định,1,Sáng
2021/05/12,Bệnh viện nhiệt đới Trung ương cơ sở Phương Anh,2,Trưa
2021/05/12,Bắc Giang,9,Trưa
2021/05/12,Bắc Ninh,5,Trưa
2021/05/12,Hà Nam,1,Trưa
2021/05/12,Thái Bình,1,Trưa
2021/05/12,Hưng Yên,1,Trưa
2021/05/12,Hà Nội,7,Tối
2021/05/12,Bắc Giang,2,Tối
2021/05/12,Phú Thọ,1,Tối
2021/05/13,Long An,1,Sáng
2021/05/13,An Giang,1,Sáng
2021/05/13,Bệnh viện nhiệt đới Trung ương,1,Sáng
2021/05/13,Đà Nẵng,22,Sáng
2021/05/13,Bắc Ninh,3,Sáng
2021/05/13,Hà Nội,3,Sáng
2021/05/13,Vĩnh Phúc,2,Sáng
2021/05/13,Bắc Giang,2,Sáng
2021/05/13,Bắc Giang,7,Trưa
2021/05/13,Hưng Yên,4,Trưa
2021/05/13,Thái Bình,4,Trưa
2021/05/13,Hà Nội,3,Trưa
2021/05/13,Huế,1,Trưa
2021/05/13,Hà Nam,1,Trưa
2021/05/13,Hòa Bình,1,Trưa
2021/05/13,Sóc Trăng,9,Tối
2021/05/13,Đồng Nai,1,Tối
2021/05/13,Vĩnh Long,1,Tối
2021/05/13,Bình Dương,1,Tối
2021/05/13,Đà Nẵng,10,Tối
2021/05/13,Bắc Ninh,4,Tối
2021/05/13,Vĩnh Phúc,3,Tối
2021/05/13,Hà Nội,1,Tối
2021/05/13,Bắc Giang,1,Tối
2021/05/14,Bắc Giang,10,Sáng
2021/05/14,Bắc Ninh,6,Sáng
2021/05/14,Hà Nội,5,Sáng
2021/05/14,Lạng Sơn,4,Sáng
2021/05/14,Bệnh viện nhiệt đới cơ sở Phương Anh,1,Sáng
2021/05/14,Bệnh viện K,3,Sáng
2021/05/14,Bắc Ninh,7,Trưa
2021/05/14,Bệnh viện K cơ sở Tân Triều,3,Trưa
2021/05/14,Lạng Sơn,2,Trưa
2021/05/14,Nam Định,2,Trưa
2021/05/14,Thái Bình,1,Trưa
2021/05/14,Hưng Yên,1,Trưa
2021/05/14,Bệnh viện K cơ sở Tân Triều,2,Tối
2021/05/14,Bệnh viện nhiệt đới Trung ương cơ sở Phương Anh,1,Tối
2021/05/14,Bắc Ninh,33,Tối
2021/05/14,Hà Nội,12,Tối
2021/05/14,Bắc Giang,6,Tối
2021/05/14,Đà Nẵng,3,Tối
2021/05/14,Thái Bình,1,Tối
2021/05/14,Điện Biên,1,Tối
2021/05/15,Bắc Giang,15,Sáng
2021/05/15,Lạng Sơn,2,Sáng
2021/05/15,Vĩnh Phúc,1,Sáng
2021/05/15,Hà Nội,1,Sáng
2021/05/15,Đắk Lắk,1,Sáng
2021/05/15,Bà Rịa - Vũng Tàu,1,Trưa
2021/05/15,Đà Nẵng,1,Trưa
2021/05/15,Bắc Giang,9,Trưa
2021/05/15,Điện Biên,2,Trưa
2021/05/15,Hà Nội,2,Trưa
2021/05/15,Bắc Ninh,1,Trưa
2021/05/15,Hà Nam,1,Trưa
2021/05/15,Hưng Yên,1,Trưa
2021/05/15,Vĩnh Long,1,Tối
2021/05/15,Quảng Trị,1,Tối
2021/05/15,Bắc Giang,85,Tối
2021/05/15,Bệnh viện K cơ sở Tân Triều,13,Tối
2021/05/15,Bắc Ninh,16,Tối
2021/05/15,Vĩnh Phúc,4,Tối
2021/05/15,Lạng Sơn,2,Tối
2021/05/15,Nam Định,1,Tối
2021/05/16,Bắc Giang,98,Sáng
2021/05/16,Bắc Ninh,23,Sáng
2021/05/16,Điện Biên,5,Sáng
2021/05/16,Hòa Bình,1,Sáng
2021/05/16,Bệnh viện K cơ sở Tân Triều,5,Trưa
2021/05/16,Hưng Yên,1,Trưa
2021/05/16,Bà Rịa - Vũng Tàu,1,Tối
2021/05/16,Hà Nội,2,Tối
2021/05/16,Đà Nẵng,12,Tối
2021/05/16,Điện Biên,7,Tối
2021/05/16,Hà Nam,6,Tối
2021/05/16,Hải Dương,2,Tối
2021/05/16,Bắc Ninh,24,Tối
2021/05/16,Hà Nội,3,Tối
2021/05/17,Bắc Giang,22,Sáng
2021/05/17,Bắc Ninh,11,Sáng
2021/05/17,Vĩnh Phúc,3,Sáng
2021/05/17,Tuyên Quang,1,Sáng
2021/05/17,Bắc Giang,14,Trưa
2021/05/17,Điện Biên,7,Trưa
2021/05/17,Hà Nam,5,Trưa
2021/05/17,Lạng Sơn,2,Trưa
2021/05/17,Bắc Giang,61,Tối
2021/05/17,Bắc Ninh,38,Tối
2021/05/17,Đà Nẵng,7,Tối
2021/05/17,Hà Nội,5,Tối
2021/05/17,Phú Thọ,2,Tối
2021/05/17,Hưng Yên,2,Tối
2021/05/17,Vĩnh Phúc,1,Tối
2021/05/18,Hà Nội,13,Sáng
2021/05/18,Hà Nam,3,Sáng
2021/05/18,Điện Biên,2,Sáng
2021/05/18,Sơn La,1,Sáng
2021/05/18,Bắc Giang,63,Trưa
2021/05/18,Hà Nội,6,Trưa
2021/05/18,Điện Biên,4,Trưa
2021/05/18,Bắc Ninh,3,Trưa
2021/05/18,Hải Dương,3,Trưa
2021/05/18,Đà Nẵng,2,Trưa
2021/05/18,Bệnh viện K cơ sở Tân Triều,1,Trưa
2021/05/18,Hải Phòng,1,Trưa
2021/05/18,Hưng Yên,1,Trưa
2021/05/18,Hà Nam,1,Trưa
2021/05/18,Bắc Giang,33,Tối
2021/05/18,Bắc Ninh,13,Tối
2021/05/18,Điện Biên,1,Tối
2021/05/18,Thái Bình,1,Tối
2021/05/19,Bắc Ninh,16,Sáng
2021/05/19,Bắc Giang,10,Sáng
2021/05/19,Lạng Sơn,3,Sáng
2021/05/19,Hồ Chí Minh,1,Sáng
2021/05/19,Bắc Giang,10,Trưa
2021/05/19,Bắc Ninh,10,Trưa
2021/05/19,Hà Nội,9,Trưa
2021/05/19,Hải Dương,3,Trưa
2021/05/19,Bệnh viện K cơ sở Tân Triều,1,Trưa
2021/05/19,Điện Biên,1,Trưa
2021/05/19,Thái Bình,1,Trưa
2021/05/19,Vĩnh Phúc,1,Trưa
2021/05/19,Bắc Giang,78,Tối
2021/05/19,Bắc Ninh,21,Tối
2021/05/19,Điện Biên,6,Tối
2021/05/19,Đà Nẵng,2,Tối
2021/05/19,Hồ Chí Minh,1,Tối
2021/05/19,Bệnh viện K cơ sở Tân Triều,1,Tối
2021/05/20,Lạng Sơn,1,Sáng
2021/05/20,Ninh Bình,2,Sáng
2021/05/20,Thanh Hoa?,1,Sáng
2021/05/20,Bắc Ninh,8,Sáng
2021/05/20,Hải Dương,5,Sáng
2021/05/20,Bắc Giang,13,Sáng
2021/05/20,Bắc Giang,26,Trưa
2021/05/20,Bắc Ninh,6,Trưa
2021/05/20,Điện Biên,4,Trưa
2021/05/20,Hà Nội,2,Trưa
2021/05/20,Đà Nẵng,1,Trưa
2021/05/20,Thái Nguyên,1,Trưa
2021/05/20,Bệnh viện K cơ sở Tân Triều,4,Trưa
2021/05/20,Bắc Giang,24,Tối
2021/05/20,Bắc Ninh,10,Tối
2021/05/20,Lạng Sơn,1,Tối
2021/05/20,Hải Dương,1,Tối
2021/05/20,Vĩnh Phúc,1,Tối
