Date,Location,Number,Time
5/1/2021,Đà Nẵng,2,Chiều
5/1/2021,TP. Hồ Chí Minh,3,Chiều
5/1/2021,Hà Tĩnh,3,Chiều
5/2/2021,Cần Thơ,4,Tối
5/2/2021,Đà Nẵng,2,Tối
5/2/2021,Vĩnh Phúc,6,Tối
5/3/2021,Kiên Giang,1,Tối
5/3/2021,Đà Nẵng,2,Tối
5/3/2021,Khánh Hòa,5,Tối
5/3/2021,Hà Nam,2,Tối
5/4/2021,Hưng Yên,2,Tối
5/4/2021,TP. Hồ Chí Minh,3,Tối
5/4/2021,Đà Nẵng,2,Tối
5/4/2021,Hà Tĩnh,1,Tối
5/4/2021,Khánh Hòa,1,Tối
5/4/2021,Đà Nẵng,1,Sáng
5/4/2021,Hà Nội,1,Sáng
5/5/2021,Tây Ninh,1,Tối
5/5/2021,Hải Dương,1,Tối
5/5/2021,Sóc Trăng,2,Tối
5/5/2021,Đà Nẵng,2,Tối
5/5/2021,TP Hồ Chí Minh,1,Tối
5/5/2021,Hà Nội,1,Tối
5/5/2021,Đồng Nai,1,Tối
5/5/2021,Hải Dương,1,Tối
5/5/2021,Bệnh viện Bệnh nhiệt đới Trung ương,14,Tối
5/6/2021,Thái Nguyên,1,Tối
5/6/2021,Hà Tĩnh,1,Tối
5/6/2021,Khánh Hòa,2,Tối
5/6/2021,Vĩnh Phúc,11,Tối
5/6/2021,Thái Bình,5,Tối
5/6/2021,Bắc Ninh,12,Tối
5/6/2021,Hà Nội,4,Tối
5/6/2021,Hải Dương,1,Tối
5/6/2021,Hưng Yên,2,Tối
5/6/2021,Quảng Ngãi,1,Tối
5/6/2021,Bệnh viện Bệnh nhiệt đới Trung ương,16,Tối
5/6/2021,Đà Nẵng,3,Tối
5/6/2021,Lạng Sơn,1,Tối
5/7/2021,Hồ Chí Minh,2,Tối
5/7/2021,Đà Nẵng,2,Tối
5/7/2021,Quảng Trị,1,Tối
5/7/2021,Bình Thuận,1,Tối
5/7/2021,Hà Nội,24,Tối
5/7/2021,Hải Dương,1,Tối
5/7/2021,Điện Biên,1,Tối
5/7/2021,Hà Nam,1,Tối
5/7/2021,Nghệ An,1,Tối
5/7/2021,Hưng Yên,4,Tối
5/7/2021,Nam Định,1,Tối
5/7/2021,Đà Nẵng,5,Tối
5/7/2021,Phú Thọ,1,Tối
5/7/2021,Vĩnh Phúc,1,Tối
5/8/2021,Hà Tĩnh,1,Tối
5/8/2021,Hà Nội,4,Tối
5/8/2021,Cần Thơ,3,Tối
5/8/2021,Hồ Chí Minh,1,Tối
5/8/2021,An Giang,3,Tối
5/8/2021,Đà Nẵng,1,Tối
5/8/2021,Quảng Ninh,1,Tối
5/8/2021,Bắc Giang,1,Tối
5/8/2021,Hưng Yên,3,Tối
5/8/2021,Hà Nội,22,Tối
5/8/2021,Hải Dương,1,Tối
5/8/2021,Bắc Ninh,17,Tối
5/8/2021,Thái Bình,1,Tối
5/8/2021,Vĩnh Phúc,7,Tối
5/8/2021,Hải Phòng,1,Tối
5/8/2021,Huế,1,Tối
5/8/2021,Đà Nẵng,8,Tối
5/8/2021,Nam Định,1,Tối
5/8/2021,Quảng Nam,1,Tối
5/8/2021,Hà Nội,1,Sáng
5/9/2021,Hà Tĩnh,1,Tối
5/9/2021,Tiền Giang,2,Tối
5/9/2021,Vĩnh Long,5,Tối
5/9/2021,Hà Nội,1,Tối
5/9/2021,Quảng Trị,1,Tối
5/9/2021,Bắc Giang,26,Tối
5/9/2021,Bắc Ninh,15,Tối
5/9/2021,Hà Nội,11,Tối
5/9/2021,Hưng Yên,2,Tối
5/9/2021,Hoà Bình,2,Tối
5/9/2021,Đà Nẵng,17,Tối
5/9/2021,Huế,2,Tối
5/9/2021,Quảng Nam,1,Tối
5/9/2021,Quảng Trị,1,Tối
5/9/2021,Bệnh viện Bệnh nhiệt đới Trung ương cơ sở Đông Anh,6,Sáng
5/9/2021,Đắk Lắk,1,Sáng
5/9/2021,Hà Nam,1,Sáng
5/9/2021,Lạng Sơn,2,Sáng
5/9/2021,Bắc Giang,5,Sáng
5/10/2021,Hưng Yên,6,Tối
5/10/2021,Đà Nẵng,4,Tối
5/10/2021,Bắc Giang,3,Tối
5/10/2021,Hà Nội,2,Tối
5/10/2021,Vĩnh Phúc,1,Tối
5/10/2021,Bắc Ninh,27,Trưa
5/10/2021,Vĩnh Phúc,19,Trưa
5/10/2021,Đà Nẵng,13,Trưa
5/10/2021,Bắc Giang,5,Trưa
5/10/2021,Hà Nội,9,Trưa
5/10/2021,Hòa Bình,2,Trưa
5/10/2021,Đắk Lắk,1,Trưa
5/10/2021,Điện Biên,1,Trưa
5/10/2021,Lạng Sơn,1,Trưa
