date,tinh,number,
2021-06-15,Bắc Giang,138,Tối
2021-06-15,TP. Hồ Chí Minh,38,Tối
2021-06-15,Bắc Ninh,21,Tối
2021-06-15,Bình Dương,12,Tối
2021-06-15,Lạng Sơn,1,Tối
2021-06-15,Bắc Giang,69,Trưa
2021-06-15,TP. Hồ Chí Minh,29,Trưa
2021-06-15,Bắc Ninh,15,Trưa
2021-06-15,Hà Tĩnh,3,Trưa
2021-06-15,Lạng Sơn,1,Trưa
2021-06-15,Hà Nội,1,Trưa
2021-06-15,Bắc Giang,28,Sáng
2021-06-15,TP. Hồ Chí Minh,23,Sáng
2021-06-15,Bắc Ninh,19,Sáng
2021-06-14,TP. Hồ Chí Minh,30,Trưa
2021-06-14,Bắc Giang,23,Trưa
2021-06-14,Tiền Giang,14,Trưa
2021-06-14,Hà Tĩnh,10,Trưa
2021-06-14,Bắc Ninh,9,Trưa
2021-06-14,Bình Dương,4,Trưa
2021-06-14,Bắc Kạn,1,Trưa
2021-06-14,Bắc Giang,69,Trưa
2021-06-14,TP. Hồ Chí Minh,26,Trưa
2021-06-14,Hà Nội,4,Trưa
2021-06-14,Hà Tĩnh,1,Trưa
2021-06-14,TP. Hồ Chí Minh,26,Tối
2021-06-14,Bắc Giang,29,Tối
2021-06-14,Bắc Ninh,8,Tối
2021-06-14,Hà Tĩnh,11,Tối
2021-06-14,Nghệ An,1,Tối
2021-06-13,Bắc Ninh,34,Tối
2021-06-13,Bắc Giang,32,Tối
2021-06-13,TP. Hồ Chí Minh,25,Tối
2021-06-13,Lạng Sơn,2,Tối
2021-06-13,Phú Thọ,1,Tối
2021-06-13,Hà Nội,1,Tối
2021-06-13,Bắc Giang,64,Trưa
2021-06-13,TP Hồ Chí Minh,26,Trưa
2021-06-13,Bắc Ninh,4,Trưa
2021-06-13,Hà Nội,1,Trưa
2021-06-13,TP. Hồ Chí Minh,44,Tối
2021-06-13,Bắc Giang,33,Tối
2021-06-13,Bắc Ninh,16,Tối
2021-06-13,Hà Tĩnh,9,Tối
2021-06-13,Bình Dương,1,Tối
2021-06-12,Bắc Giang,29,Sáng
2021-06-12,TP. Hồ Chí Minh,20,Sáng
2021-06-12,Tiền Giang,10,Sáng
2021-06-12,Bắc Ninh,8,Sáng
2021-06-12,Lạng Sơn,1,Sáng
2021-06-12,Bắc Giang,55,Trưa
2021-06-12,TP. Hồ Chí Minh,20,Trưa
2021-06-12,Bắc Ninh,10,Trưa
2021-06-12,Hà Tĩnh,3,Trưa
2021-06-12,TP. Hồ Chí Minh,44,Tối
2021-06-12,Bắc Giang,41,Tối
2021-06-12,Bắc Ninh,16,Tối
2021-06-12,Hà Tĩnh,2,Tối
2021-06-11,Bắc Giang,23,Sáng
2021-06-11,TP. Hồ Chí Minh,10,Sáng
2021-06-11,Bắc Ninh,4,Sáng
2021-06-11,Hà Tĩnh,4,Sáng
